a,b,c,d,alpha,IS_HEALTHY,BRAF v600,KRAS c122,KRAS c146,KRAS c61,NRAS c61,NRAS ex2
-1369.240918483683,3733.2264814717755,3.239828672350158,-79.18105026324571,0.26668614688832454,0.0,0,0,1,0,0,0
-1706.1335705794584,4122.615420688886,3.1677635207239363,-79.24539638449814,0.2562889869681801,0.0,0,0,1,0,0,0
-1917.783636922676,4281.939666292593,3.2229428529095094,-79.27121631030322,0.26958107466501147,0.0,0,0,1,0,0,0
-1872.0391408009161,4272.544426911947,3.04771097673556,-79.31589005609283,0.288119077056121,0.0,0,0,1,0,0,0
-1398.7287685591266,4057.0000430916803,2.4017707364547625,-79.1121017014626,0.3558307985526512,0.0,0,0,1,0,0,0
-1736.5924987785647,4153.5094482777795,3.194912221069067,-79.28994255941879,0.27607861475069795,0.0,0,0,1,0,0,0
-1528.408230776623,3950.823104242451,3.1117460379118906,-79.22585124354192,0.28806135808882716,0.0,0,0,1,0,0,0
-2043.4680152936521,4434.23362116443,3.3696547198963835,-79.2566274058653,0.2681501990961569,0.0,0,0,1,0,0,0
-1497.0420820658812,4020.1099765949953,3.227471808922463,-79.24103199728538,0.2716023080579997,0.0,0,0,1,0,0,0
-1925.9183410215524,4398.269921951605,3.1391219422133316,-79.28233175013445,0.28311226080622015,0.0,0,0,1,0,0,0
-1626.6944370057372,4111.243758470256,2.91380201443371,-79.20993986390086,0.2978882656456963,0.0,0,0,1,0,0,0
-1800.4554914258647,4117.737150399361,3.3689501414187157,-79.25818080633907,0.2573502549087198,0.0,0,0,1,0,0,0
-1572.8634656476092,3952.3873541253633,3.1931824541299165,-79.22808112547283,0.26930202128470304,0.0,0,0,1,0,0,0
-1801.421615633004,4140.277891708167,3.3296219535128633,-79.287125801243,0.25893423637157087,0.0,0,0,1,0,0,0
-1820.6080525991047,4479.23683581735,2.6589767189136313,-79.12004407282923,0.34399208067215425,0.0,0,0,1,0,0,0
-1885.6090134437327,4312.182960139403,3.029331186241985,-79.1717485559004,0.3003150504925476,0.0,0,0,1,0,0,0
-2209.9864570709365,4463.094541455783,3.408029962911771,-79.33501883233195,0.2691597479428026,0.0,0,0,1,0,0,0
-2403.9466935809837,4690.023865389978,3.3979113804842047,-79.30313746471784,0.24766774661077753,0.0,0,0,1,0,0,0
-2386.847294618184,4663.140419947817,3.328155331133437,-79.2632855046334,0.2494193790488083,0.0,0,0,1,0,0,0
-2308.0906899799757,4635.686526346577,3.315553552270788,-79.21815920806576,0.2558384406500764,0.0,0,0,1,0,0,0
-1766.7979781691454,4079.238122205249,3.2852366830563056,-79.52265797963254,0.27952303839515835,1.0,0,0,1,0,0,0
-1743.5449273655,4184.856657077082,3.1123000690614138,-79.14039180093144,0.2960736039435374,1.0,0,0,1,0,0,0
-2121.565215329668,4601.9898601642035,3.4270612665926037,-79.27204358986482,0.2610515144234177,0.0,0,0,1,0,0,0
-1944.732616094416,4228.7126018102235,3.3809488229155633,-79.24173313929343,0.27930660765651283,0.0,0,0,1,0,0,0
-1903.075643257706,4247.747150656127,4.909223302580764,-84.33528950848367,0.22487792235510756,0.0,0,0,0,0,0,1
-1482.7974179463406,3914.943590966318,4.638808366302289,-84.28717094855513,0.21636439809110083,0.0,0,0,0,0,0,1
-1792.64374330466,4092.135722535881,4.837821902009106,-84.27749000773657,0.22150845723390675,0.0,0,0,0,0,0,1
-1447.509252290228,4028.802424053294,4.141294445848587,-84.23507287446219,0.22685265079698724,0.0,0,0,0,0,0,1
-1606.8379581885708,4231.386832333496,3.958080432587387,-84.22954683938067,0.2391257819572262,0.0,0,0,0,0,0,1
-1476.6049668922337,4071.7511586058326,4.02460432587313,-84.16325782757251,0.2548874300910865,0.0,0,0,0,0,0,1
-2164.2767717561137,4416.976652509657,4.730878418406338,-84.2386636403338,0.2285797830022223,0.0,0,0,0,0,0,1
-1761.9705419312622,4034.884043623725,4.920803105313082,-84.6754441847885,0.22702282412955035,1.0,0,0,0,0,0,1
-1588.303012337748,3996.3082111079884,4.821654599883884,-84.57119824809193,0.21850831564515233,1.0,0,0,0,0,0,1
-1487.5759144407855,4066.2519365935245,4.457852178787487,-84.45753009544082,0.22552121912805143,0.0,0,0,0,0,0,1
-1310.8317124695413,3680.751180871213,5.464151928288927,-84.24972235633932,0.23143521016206298,0.0,0,0,0,0,0,1
-1370.1663494525744,4073.6238886351366,4.597782476810858,-84.447167565608,0.21849760490838857,0.0,0,0,0,0,0,1
-1478.7934236166454,4182.86149887064,4.527756106622689,-84.51510768759061,0.21108760561179243,0.0,0,0,0,0,0,1
-1442.0251039654072,3745.6083280446683,5.148705597586213,-84.23160442576582,0.2303549443626988,0.0,0,0,0,0,0,1
-1554.534271508694,3917.644008345953,5.046606781648745,-84.24965450858382,0.23526674164739408,0.0,0,0,0,0,0,1
-1624.6552914335284,4080.0188822519017,5.159131368693227,-84.33225517447504,0.2341733478549395,0.0,0,0,0,0,0,1
-1763.535433364424,4165.473117767984,5.063083130582302,-84.26687469575248,0.24203538375664918,0.0,0,0,0,0,0,1
